layer,bin,rel_pos_mid,auroc,n,n_folds_used
45,0,0.1,0.6738492063492063,123,5
45,1,0.3,0.685138888888889,94,5
45,2,0.5,0.6220519748569284,118,5
45,3,0.7,0.6655777555777556,72,5
45,4,0.9,0.6551746031746032,145,5
46,0,0.1,0.6869889579020014,123,5
46,1,0.3,0.74103081232493,94,5
46,2,0.5,0.4675840864788233,118,5
46,3,0.7,0.6284848484848485,72,5
46,4,0.9,0.7650177489177489,145,5
47,0,0.1,0.5986575133485889,123,5
47,1,0.3,0.663274773472142,94,5
47,2,0.5,0.7204829721362229,118,5
47,3,0.7,0.6,72,5
47,4,0.9,0.7282370286718114,145,5
48,0,0.1,0.7189920634920635,123,5
48,1,0.3,0.6734126984126985,94,5
48,2,0.5,0.7091238379409734,118,5
48,3,0.7,0.7487878787878788,72,5
48,4,0.9,0.7604640890510457,145,5
49,0,0.1,0.6938702895345782,123,5
49,1,0.3,0.7119728506787331,94,5
49,2,0.5,0.5997407407407408,118,5
49,3,0.7,0.5977855477855478,72,5
49,4,0.9,0.6880802055087769,145,5
50,0,0.1,0.6356762360446571,123,5
50,1,0.3,0.6579754273504272,94,5
50,2,0.5,0.7395122610447687,118,5
50,3,0.7,0.7688034188034188,72,5
50,4,0.9,0.6997926887926889,145,5
51,0,0.1,0.6438782947707432,123,5
51,1,0.3,0.7617916666666668,94,5
51,2,0.5,0.6531472296520947,118,5
51,3,0.7,0.7038461538461538,72,5
51,4,0.9,0.7455873015873016,145,5
52,0,0.1,0.5555569404795412,123,5
52,1,0.3,0.6274416433239962,94,5
52,2,0.5,0.6384468524251806,118,5
52,3,0.7,0.6439010989010989,72,5
52,4,0.9,0.6937911412259238,145,5
53,0,0.1,0.6557549243953875,123,5
53,1,0.3,0.641712962962963,94,5
53,2,0.5,0.5853498217468804,118,5
53,3,0.7,0.6881895881895882,72,5
53,4,0.9,0.6814942640692638,145,5
54,0,0.1,0.6202944011612742,123,5
54,1,0.3,0.6806387362637362,94,5
54,2,0.5,0.599266106442577,118,5
54,3,0.7,0.6351981351981351,72,5
54,4,0.9,0.7726859213250518,145,5
55,0,0.1,0.6456686337248997,123,5
55,1,0.3,0.6717195767195767,94,5
55,2,0.5,0.5857889822595704,118,5
55,3,0.7,0.7285547785547786,72,5
55,4,0.9,0.7701603130208776,145,5
