layer,bin,rel_pos_mid,auroc,n,n_folds_used
0,0,0.1,0.7031259695610247,264,5
0,1,0.3,0.5927617323153037,225,5
0,2,0.5,0.6389688719852878,253,5
0,3,0.7,0.7030405875800613,199,5
0,4,0.9,0.7847072321253308,290,5
1,0,0.1,0.6865822466632495,264,5
1,1,0.3,0.5635118052388914,225,5
1,2,0.5,0.7290551389142939,253,5
1,3,0.7,0.7400682261208577,199,5
1,4,0.9,0.7747549740307786,290,5
2,0,0.1,0.7197741935483871,264,5
2,1,0.3,0.633581015032628,225,5
2,2,0.5,0.6467120357634585,253,5
2,3,0.7,0.7857581353185653,199,5
2,4,0.9,0.7233622625976751,290,5
3,0,0.1,0.7529982848128814,264,5
3,1,0.3,0.7223779690005641,225,5
3,2,0.5,0.680173971786875,253,5
3,3,0.7,0.7837671187671188,199,5
3,4,0.9,0.7829774854912632,290,5
4,0,0.1,0.7486377067934444,264,5
4,1,0.3,0.6926684636118597,225,5
4,2,0.5,0.6085769434697411,253,5
4,3,0.7,0.8091367314382365,199,5
4,4,0.9,0.8052218703625353,290,5
5,0,0.1,0.7495530037214249,264,5
5,1,0.3,0.7845586418799988,225,5
5,2,0.5,0.7021857769423558,253,5
5,3,0.7,0.7182069088319089,199,5
5,4,0.9,0.8278000196832638,290,5
6,0,0.1,0.6697101449275363,264,5
6,1,0.3,0.7170452030239264,225,5
6,2,0.5,0.7482389927886457,253,5
6,3,0.7,0.6931353092652859,199,5
6,4,0.9,0.7834839622682703,290,5
7,0,0.1,0.6017433703107686,264,5
7,1,0.3,0.6561928651059087,225,5
7,2,0.5,0.5003406403332274,253,5
7,3,0.7,0.7837450110864745,199,5
7,4,0.9,0.800506724479827,290,5
8,0,0.1,0.7150854139329267,264,5
8,1,0.3,0.5664890616189232,225,5
8,2,0.5,0.5908968253968253,253,5
8,3,0.7,0.715682292275652,199,5
8,4,0.9,0.7343934916522123,290,5
9,0,0.1,0.6793118238350797,264,5
9,1,0.3,0.6221470267321332,225,5
9,2,0.5,0.6256596011293545,253,5
9,3,0.7,0.7409461562402739,199,5
9,4,0.9,0.8112046962347174,290,5
10,0,0.1,0.6939948210922787,264,5
10,1,0.3,0.6358672535228013,225,5
10,2,0.5,0.6813297813297814,253,5
10,3,0.7,0.6580747924135183,199,5
10,4,0.9,0.754477917556312,290,5
11,0,0.1,0.6858111796483889,264,5
11,1,0.3,0.6666266180627883,225,5
11,2,0.5,0.6050761011475296,253,5
11,3,0.7,0.7521935645322742,199,5
11,4,0.9,0.7949526228519286,290,5
12,0,0.1,0.6672442541812372,264,5
12,1,0.3,0.6702595397717349,225,5
12,2,0.5,0.5665831371742426,253,5
12,3,0.7,0.7596947415329769,199,5
12,4,0.9,0.8164902506457128,290,5
13,0,0.1,0.7470820273265091,264,5
13,1,0.3,0.6795360860623318,225,5
13,2,0.5,0.45291996588039457,253,5
13,3,0.7,0.7113964666446441,199,5
13,4,0.9,0.7626666796880087,290,5
14,0,0.1,0.6322458749227785,264,5
14,1,0.3,0.6620891225632605,225,5
14,2,0.5,0.6937567197359814,253,5
14,3,0.7,0.7674888517279821,199,5
14,4,0.9,0.8249942947469799,290,5
15,0,0.1,0.7818537782328493,264,5
15,1,0.3,0.7343919707658733,225,5
15,2,0.5,0.6318969651126424,253,5
15,3,0.7,0.7414448514448514,199,5
15,4,0.9,0.7446725314591383,290,5
16,0,0.1,0.7763942753897777,264,5
16,1,0.3,0.7871557307940286,225,5
16,2,0.5,0.6053493229357837,253,5
16,3,0.7,0.7589150866162361,199,5
16,4,0.9,0.8139573005416023,290,5
17,0,0.1,0.7588979818521414,264,5
17,1,0.3,0.6848200585789872,225,5
17,2,0.5,0.6788759470154819,253,5
17,3,0.7,0.7630749580749582,199,5
17,4,0.9,0.7843341745973325,290,5
18,0,0.1,0.7723967678601008,264,5
18,1,0.3,0.6739896022699627,225,5
18,2,0.5,0.6015442758299901,253,5
18,3,0.7,0.7606372270287365,199,5
18,4,0.9,0.8130978989193096,290,5
19,0,0.1,0.8041586170773328,264,5
19,1,0.3,0.5951158743791622,225,5
19,2,0.5,0.6368686868686868,253,5
19,3,0.7,0.8304682164433939,199,5
19,4,0.9,0.8168174283050345,290,5
20,0,0.1,0.7429555281374265,264,5
20,1,0.3,0.7049202166593471,225,5
20,2,0.5,0.674776135741653,253,5
20,3,0.7,0.7948149688149687,199,5
20,4,0.9,0.8513496933795874,290,5
21,0,0.1,0.7805393659469747,264,5
21,1,0.3,0.6951289899038346,225,5
21,2,0.5,0.5887888198757765,253,5
21,3,0.7,0.7729547021347406,199,5
21,4,0.9,0.7981152443882127,290,5
22,0,0.1,0.7430177554603785,264,5
22,1,0.3,0.6728085891754916,225,5
22,2,0.5,0.6653936651583711,253,5
22,3,0.7,0.8143360297982658,199,5
22,4,0.9,0.7368056921955775,290,5
23,0,0.1,0.7658819895184529,264,5
23,1,0.3,0.7357768510010839,225,5
23,2,0.5,0.5014712161463127,253,5
23,3,0.7,0.796394664314393,199,5
23,4,0.9,0.7786861214431128,290,5
24,0,0.1,0.8323432831285189,264,5
24,1,0.3,0.7443730820812402,225,5
24,2,0.5,0.6298526775009567,253,5
24,3,0.7,0.8030358359729132,199,5
24,4,0.9,0.8018112360170242,290,5
25,0,0.1,0.8701386345209251,264,5
25,1,0.3,0.6869707428635179,225,5
25,2,0.5,0.4644498207885305,253,5
25,3,0.7,0.7032810078656494,199,5
25,4,0.9,0.7737428096756318,290,5
26,0,0.1,0.7952608726019743,264,5
26,1,0.3,0.8072842465462202,225,5
26,2,0.5,0.6069590643274854,253,5
26,3,0.7,0.7757834650970435,199,5
26,4,0.9,0.7941388664251667,290,5
27,0,0.1,0.751269644312599,264,5
27,1,0.3,0.7631518234189529,225,5
27,2,0.5,0.6579998521932923,253,5
27,3,0.7,0.886889338731444,199,5
27,4,0.9,0.7754876423356022,290,5
28,0,0.1,0.7548800463976131,264,5
28,1,0.3,0.8351348551423572,225,5
28,2,0.5,0.5350174927979297,253,5
28,3,0.7,0.8532848955827133,199,5
28,4,0.9,0.7901276802603949,290,5
29,0,0.1,0.8035463615510455,264,5
29,1,0.3,0.7760964657685969,225,5
29,2,0.5,0.5250469485605818,253,5
29,3,0.7,0.8997323859734776,199,5
29,4,0.9,0.7955456038214659,290,5
30,0,0.1,0.6817516661663985,264,5
30,1,0.3,0.741150981686696,225,5
30,2,0.5,0.5268265097786374,253,5
30,3,0.7,0.8534978746743453,199,5
30,4,0.9,0.7935970217282544,290,5
31,0,0.1,0.803841516670464,264,5
31,1,0.3,0.6804482303977635,225,5
31,2,0.5,0.66527389512559,253,5
31,3,0.7,0.8672320953650876,199,5
31,4,0.9,0.7857329598506069,290,5
32,0,0.1,0.7102841355925278,264,5
32,1,0.3,0.6923952991452992,225,5
32,2,0.5,0.6047249075068624,253,5
32,3,0.7,0.872455845861918,199,5
32,4,0.9,0.7668211541135129,290,5
33,0,0.1,0.7449872502262332,264,5
33,1,0.3,0.8154008321879201,225,5
33,2,0.5,0.6590827587298353,253,5
33,3,0.7,0.8376091536009176,199,5
33,4,0.9,0.7706028945707551,290,5
34,0,0.1,0.7317072058376406,264,5
34,1,0.3,0.8169891696207486,225,5
34,2,0.5,0.6548514578503924,253,5
34,3,0.7,0.9004580333813257,199,5
34,4,0.9,0.8214061085848702,290,5
35,0,0.1,0.7411211312841747,264,5
35,1,0.3,0.8104995331465921,225,5
35,2,0.5,0.6568124883681213,253,5
35,3,0.7,0.848276320714102,199,5
35,4,0.9,0.8234953525105706,290,5
36,0,0.1,0.8289931937534032,264,5
36,1,0.3,0.767918309715977,225,5
36,2,0.5,0.587162208043074,253,5
36,3,0.7,0.8423316470754802,199,5
36,4,0.9,0.789498000954768,290,5
37,0,0.1,0.7979364035087719,264,5
37,1,0.3,0.7502299114437587,225,5
37,2,0.5,0.5853775526464726,253,5
37,3,0.7,0.8835830523903094,199,5
37,4,0.9,0.7853246735765244,290,5
38,0,0.1,0.7065766236078735,264,5
38,1,0.3,0.7856363636363637,225,5
38,2,0.5,0.603031569414753,253,5
38,3,0.7,0.8051792606370611,199,5
