layer auroc
0 0.5617639797
1 0.6048150794
2 0.6785789465
3 0.6862334419
4 0.6594146311
5 0.6825035824
6 0.6845088117
7 0.7011924165
8 0.7009488397
9 0.6835797800
10 0.6887434543
11 0.7060350128
12 0.7160563013
13 0.7219051677
14 0.7308956263
15 0.7300292281
16 0.7331181725
17 0.7616556835
18 0.7594269444
19 0.7696364888
20 0.7765139506
21 0.7848452125
22 0.7972922646
23 0.8017343288
24 0.8001636496
25 0.8171325050
26 0.8164976820
27 0.8210407131
28 0.8196152965
29 0.8200246757
30 0.8210809086
31 0.8208838978
32 0.8208974152
33 0.8203430960
34 0.8212093576
35 0.8206280087
36 0.8151739475
37 0.8120325857
38 0.8252952162
39 0.8280170593
40 0.8346431163
41 0.8539812074
42 0.8475463457
43 0.8602323043
44 0.8573938278
45 0.8671202623
46 0.8690628017
47 0.8711044064
48 0.8661106141
49 0.8716164082
50 0.8617058368
51 0.8452725070
52 0.8215397796
53 0.8070612588
54 0.7894103010
55 0.7940299030
56 0.7954400696
57 0.7810558807
58 0.7746813312
59 0.7508303146
60 0.7404416570
61 0.7184523671
62 0.6853385085
63 0.6551872038
