repo,instance_id,difficulty,rnd
django/django,django__django-9296,<15 min fix,0.0002503170942696087
sympy/sympy,sympy__sympy-13647,15 min - 1 hour,0.0029775819490937615
pylint-dev/pylint,pylint-dev__pylint-4970,<15 min fix,0.00440378307074146
scikit-learn/scikit-learn,scikit-learn__scikit-learn-15100,15 min - 1 hour,0.006070725396523086
sphinx-doc/sphinx,sphinx-doc__sphinx-8120,15 min - 1 hour,0.007938589691191504
sympy/sympy,sympy__sympy-20428,15 min - 1 hour,0.018321041426198784
sympy/sympy,sympy__sympy-24066,15 min - 1 hour,0.021827846143379508
django/django,django__django-12754,15 min - 1 hour,0.02485851541719306
django/django,django__django-16877,15 min - 1 hour,0.02721650931626343
pytest-dev/pytest,pytest-dev__pytest-7324,15 min - 1 hour,0.02732281193950671
sympy/sympy,sympy__sympy-13974,15 min - 1 hour,0.029348493186690656
sympy/sympy,sympy__sympy-15976,15 min - 1 hour,0.029679363758100173
sphinx-doc/sphinx,sphinx-doc__sphinx-11445,15 min - 1 hour,0.03141556985861559
django/django,django__django-11820,<15 min fix,0.03909489724946361
sympy/sympy,sympy__sympy-18763,<15 min fix,0.04141064156910301
django/django,django__django-15127,<15 min fix,0.04231069726139275
django/django,django__django-11141,15 min - 1 hour,0.04496683528704613
django/django,django__django-15375,15 min - 1 hour,0.04752599903098847
pylint-dev/pylint,pylint-dev__pylint-6386,15 min - 1 hour,0.04893759463660514
django/django,django__django-14792,<15 min fix,0.04981010599190187
django/django,django__django-13028,15 min - 1 hour,0.053664219729967357
matplotlib/matplotlib,matplotlib__matplotlib-13989,<15 min fix,0.05366581205340768
django/django,django__django-16801,<15 min fix,0.055688588766729975
django/django,django__django-13449,1-4 hours,0.06000276595484284
matplotlib/matplotlib,matplotlib__matplotlib-24149,<15 min fix,0.06175680391773246
pydata/xarray,pydata__xarray-4094,<15 min fix,0.06182311167288569
psf/requests,psf__requests-6028,15 min - 1 hour,0.06254516912302129
pydata/xarray,pydata__xarray-3677,15 min - 1 hour,0.06587784307212677
django/django,django__django-13012,15 min - 1 hour,0.07247617615758956
django/django,django__django-14315,<15 min fix,0.07294796249657859
django/django,django__django-13128,1-4 hours,0.07528227875959428
django/django,django__django-13109,<15 min fix,0.07773494186696005
sphinx-doc/sphinx,sphinx-doc__sphinx-10466,15 min - 1 hour,0.08171950646084528
matplotlib/matplotlib,matplotlib__matplotlib-22865,15 min - 1 hour,0.08427141823216756
django/django,django__django-14122,15 min - 1 hour,0.08476191990838267
pytest-dev/pytest,pytest-dev__pytest-7982,<15 min fix,0.0861043428211234
sphinx-doc/sphinx,sphinx-doc__sphinx-8459,<15 min fix,0.09000598740351745
django/django,django__django-11477,15 min - 1 hour,0.09341333458953306
sympy/sympy,sympy__sympy-24443,15 min - 1 hour,0.09525265078802085
django/django,django__django-14493,<15 min fix,0.09734586564893986
django/django,django__django-15128,1-4 hours,0.09833545363115874
sympy/sympy,sympy__sympy-15345,<15 min fix,0.10359654251099612
django/django,django__django-11099,<15 min fix,0.104593660364374
matplotlib/matplotlib,matplotlib__matplotlib-26466,15 min - 1 hour,0.1070537913152238
matplotlib/matplotlib,matplotlib__matplotlib-22719,<15 min fix,0.10805555480369541
django/django,django__django-13195,15 min - 1 hour,0.11121948280275251
django/django,django__django-15252,15 min - 1 hour,0.11190520550490908
scikit-learn/scikit-learn,scikit-learn__scikit-learn-14983,<15 min fix,0.11218941698810005
django/django,django__django-14155,15 min - 1 hour,0.11308951475514378
sympy/sympy,sympy__sympy-17655,<15 min fix,0.11523330201405635
django/django,django__django-13658,15 min - 1 hour,0.11542530218748853
django/django,django__django-11555,<15 min fix,0.11701745749799976
sympy/sympy,sympy__sympy-16597,1-4 hours,0.12069658909909747
scikit-learn/scikit-learn,scikit-learn__scikit-learn-13328,<15 min fix,0.12162481328788127
psf/requests,psf__requests-2317,<15 min fix,0.12247760151351747
django/django,django__django-15268,1-4 hours,0.12328221242438774
pydata/xarray,pydata__xarray-3305,15 min - 1 hour,0.12810674594728547
django/django,django__django-14855,<15 min fix,0.13165666570402765
sympy/sympy,sympy__sympy-24213,15 min - 1 hour,0.13294161265617402
pytest-dev/pytest,pytest-dev__pytest-6197,1-4 hours,0.1338740462953184
django/django,django__django-15382,15 min - 1 hour,0.13424197973009852
django/django,django__django-10999,<15 min fix,0.13799776984213893
django/django,django__django-16642,<15 min fix,0.13931478925149166
matplotlib/matplotlib,matplotlib__matplotlib-25287,<15 min fix,0.14188470195870084
django/django,django__django-11740,15 min - 1 hour,0.1426305945545932
sympy/sympy,sympy__sympy-20154,15 min - 1 hour,0.14380295435283263
astropy/astropy,astropy__astropy-14096,15 min - 1 hour,0.14448183084432997
sphinx-doc/sphinx,sphinx-doc__sphinx-7889,<15 min fix,0.1499304071920757
django/django,django__django-15863,<15 min fix,0.1504199132064151
django/django,django__django-13809,15 min - 1 hour,0.15278014776339296
django/django,django__django-11299,<15 min fix,0.15339126789659152
pytest-dev/pytest,pytest-dev__pytest-7490,15 min - 1 hour,0.1542058358930232
django/django,django__django-13670,15 min - 1 hour,0.1567110777223466
django/django,django__django-15732,15 min - 1 hour,0.1577112019282104
scikit-learn/scikit-learn,scikit-learn__scikit-learn-13142,<15 min fix,0.15811426223864622
django/django,django__django-14752,<15 min fix,0.16149967139005048
django/django,django__django-11333,15 min - 1 hour,0.16260517869195232
django/django,django__django-11149,15 min - 1 hour,0.16299608583736158
django/django,django__django-15037,15 min - 1 hour,0.16466349004540193
scikit-learn/scikit-learn,scikit-learn__scikit-learn-26194,15 min - 1 hour,0.16524554658178764
django/django,django__django-15741,<15 min fix,0.16617284814526553
matplotlib/matplotlib,matplotlib__matplotlib-24026,15 min - 1 hour,0.1681961522152165
django/django,django__django-13212,1-4 hours,0.1684247480018175
django/django,django__django-13821,<15 min fix,0.17152120143222513
sphinx-doc/sphinx,sphinx-doc__sphinx-10449,<15 min fix,0.17297137694775824
scikit-learn/scikit-learn,scikit-learn__scikit-learn-14894,15 min - 1 hour,0.17334532539283043
django/django,django__django-12965,15 min - 1 hour,0.17349014554089634
django/django,django__django-16901,15 min - 1 hour,0.17375448598287818
django/django,django__django-16082,15 min - 1 hour,0.174809010192039
django/django,django__django-14608,<15 min fix,0.1750083752137738
django/django,django__django-12155,15 min - 1 hour,0.1766678739219864
django/django,django__django-14007,1-4 hours,0.1772449406995924
django/django,django__django-13023,<15 min fix,0.17822695557936213
pydata/xarray,pydata__xarray-6744,15 min - 1 hour,0.1784875760358364
pallets/flask,pallets__flask-5014,<15 min fix,0.1794706206960794
pydata/xarray,pydata__xarray-7393,15 min - 1 hour,0.18288275629028813
django/django,django__django-15572,<15 min fix,0.1831723413611024
sympy/sympy,sympy__sympy-22714,<15 min fix,0.18330633848376335
django/django,django__django-16667,15 min - 1 hour,0.18367154169867161
django/django,django__django-13569,15 min - 1 hour,0.18430480336054997
django/django,django__django-16429,<15 min fix,0.18450251524649355
scikit-learn/scikit-learn,scikit-learn__scikit-learn-11310,<15 min fix,0.18456171052993606
sphinx-doc/sphinx,sphinx-doc__sphinx-8721,<15 min fix,0.189250106863897
